X,Y
71.99791666666667,-66.64486111111111
71.99375,-66.64513888888888
71.98958333333334,-66.64541666666668
71.98541666666665,-66.64569444444444
71.98124999999999,-66.64597222222223
71.97708333333333,-66.64609375
71.97291666666666,-66.64635416666667
71.96875,-66.64661458333333
71.96458333333334,-66.64661458333333
71.96041666666667,-66.6466911764706
71.95624999999998,-66.64687500000001
71.95208333333332,-66.64693627450981
71.94791666666666,-66.64693627450981
71.94375,-66.64718137254903
71.93958333333333,-66.64718137254903
71.93541666666667,-66.64742647058824
71.93125,-66.64742647058824
71.92708333333334,-66.64742647058824
71.92291666666665,-66.64742647058824
71.91874999999999,-66.64742647058824
71.91458333333333,-66.64742647058824
71.91041666666666,-66.6474537037037
71.90625,-66.6474537037037
71.90208333333334,-66.6474537037037
71.89791666666667,-66.6474537037037
71.89374999999998,-66.64747807017544
71.88958333333332,-66.64747807017544
71.88541666666664,-66.6476851851852
71.88125,-66.64769736842106
71.87708333333335,-66.64769736842106
71.87291666666668,-66.64769736842106
71.86875,-66.64770833333334
71.86458333333334,-66.64791666666667
71.86458333333334,-66.64791666666667
71.86041666666665,-66.64791666666667
71.85624999999999,-66.64811507936508
71.85208333333333,-66.64846014492754
71.84791666666666,-66.64864130434783
71.84375,-66.6490036231884
71.83958333333334,-66.649365942029
71.83541666666667,-66.64990942028986
71.83124999999998,-66.65052083333333
71.82708333333332,-66.65104166666667
71.82291666666666,-66.6517361111111
71.82124999999999,-66.65208333333334
71.81875,-66.65267857142858
71.81458333333333,-66.65347222222222
71.81041666666667,-66.65446428571428
71.80625,-66.65545634920635
71.80291666666668,-66.65625
71.80208333333334,-66.65649509803922
71.79791666666665,-66.65787037037036
71.79374999999999,-66.65902777777778
71.78958333333333,-66.66018518518518
71.78875,-66.66041666666666
71.78541666666666,-66.66152777777778
71.78125,-66.66276041666666
71.77708333333334,-66.6640625
71.77541666666667,-66.66458333333333
71.77291666666667,-66.66531862745097
71.76874999999998,-66.66629901960783
71.76458333333332,-66.66752450980391
71.76041666666666,-66.66851851851851
71.75958333333332,-66.66875000000002
71.75625,-66.66973039215686
71.75208333333333,-66.67083333333333
71.74791666666667,-66.6719362745098
71.74375,-66.67291666666667
71.74375,-66.67291666666667
71.73958333333334,-66.67407407407407
71.73541666666665,-66.6751096491228
71.73124999999999,-66.67620614035087
71.72791666666666,-66.67708333333333
71.72708333333333,-66.67732843137254
71.72291666666666,-66.6787037037037
71.71875,-66.68009259259259
71.71577380952381,-66.68125
71.71458333333334,-66.68180555555556
71.71041666666667,-66.68385416666668
71.70624999999998,-66.68541666666667
71.70624999999998,-66.68541666666667
71.70208333333332,-66.68779761904761
71.6985119047619,-66.68958333333333
71.69791666666666,-66.68993055555555
71.69375,-66.69214743589743
71.69027777777777,-66.69375
71.68958333333333,-66.69409722222221
71.68541666666667,-66.69613095238095
71.68125,-66.69791666666667
71.68125,-66.69791666666667
71.67708333333334,-66.7
71.67291666666665,-66.70208333333333
71.67291666666665,-66.70208333333333
71.66874999999999,-66.70435606060606
71.66458333333333,-66.70625
71.66458333333333,-66.70625
71.66041666666666,-66.70798611111111
71.65625,-66.70977564102564
71.65458333333333,-66.71041666666667
71.65208333333334,-66.71130952380953
71.64791666666667,-66.7125
71.64374999999998,-66.71375
71.64062499999999,-66.71458333333334
71.63958333333332,-66.71486111111112
71.63541666666666,-66.71605392156863
71.63125,-66.71703431372549
71.62708333333333,-66.71805555555557
71.62395833333333,-66.71875
71.62291666666667,-66.71901041666666
71.61875,-66.71997549019608
71.61458333333334,-66.72095588235294
71.61041666666665,-66.72175925925926
71.60624999999999,-66.72267156862745
71.6048611111111,-66.72291666666666
71.60208333333333,-66.72347222222221
71.59791666666666,-66.72458333333333
71.59375,-66.72541666666666
71.58958333333334,-66.72630208333332
71.58541666666667,-66.72708333333333
71.58541666666667,-66.72708333333333
71.58124999999998,-66.72797619047618
71.57708333333332,-66.72886904761904
71.57291666666666,-66.72958333333332
71.56875,-66.73020833333334
71.56458333333333,-66.73098958333333
71.5625,-66.73125
71.56041666666667,-66.73154761904762
71.55625,-66.73208333333334
71.55208333333334,-66.73263888888889
71.54791666666665,-66.73291666666667
71.54374999999999,-66.73347222222222
71.53958333333333,-66.73375
71.53541666666666,-66.73402777777778
71.53125,-66.73402777777778
71.52708333333334,-66.73430555555555
71.52291666666667,-66.73430555555555
71.51874999999998,-66.734375
71.51458333333332,-66.734375
71.51041666666666,-66.734375
71.50625,-66.73419117647059
71.50208333333333,-66.73419117647059
71.49791666666667,-66.73419117647059
71.49375,-66.73419117647059
71.48958333333334,-66.73425925925926
71.48541666666665,-66.73425925925926
71.48124999999999,-66.7343201754386
